Title,Source,URL
Joe Biden’s exquisite Trump verdict dilemma,The Guardian,https://www.theguardian.com/global/article/2024/jun/05/joe-biden-exquisite-trump-verdict-dilemma
Trump on Trial: The political fallout,The Guardian,https://www.theguardian.com/us-news/article/2024/jun/05/trump-hush-money-trial-guilty-political-fallout
House speaker appoints two Trump loyalists to intelligence committee,The Guardian,https://www.theguardian.com/us-news/article/2024/jun/06/house-intelligence-committee-far-right-republicans
Trump on Trial: truth or consequences,The Guardian,https://www.theguardian.com/us-news/article/2024/jun/11/trump-on-trial-truth-or-consequences
"Hunter Biden conviction could boost father against Trump, experts suggest",The Guardian,https://www.theguardian.com/us-news/article/2024/jun/12/hunter-biden-gun-trial-reaction
New York probation officers interview Trump before his criminal sentencing,The Guardian,https://www.theguardian.com/us-news/article/2024/jun/10/trump-probation-officials-interview-hush-money-trial
Donald Trump looking for ‘fighter’ as Republican running mate,The Guardian,https://www.theguardian.com/us-news/article/2024/jun/17/donald-trump-vice-president-criteria
Trump announces Teamsters union chief to speak at Republican convention,The Guardian,https://www.theguardian.com/us-news/article/2024/jun/21/trump-teamsters-republican-convention
Trump freewheels towards debate as Biden rehearses at Camp David,The Guardian,https://www.theguardian.com/us-news/article/2024/jun/23/biden-trump-presidential-debate-political-surrogates
Factchecked: Trump and Biden’s presidential debate claims,The Guardian,https://www.theguardian.com/us-news/article/2024/jun/27/fact-check-debate-biden-trump
Biden and Trump prepare to debate | First Thing,The Guardian,https://www.theguardian.com/us-news/article/2024/jun/27/first-thing-biden-and-trump-prepare-for-tv-debate
Anti-Trump Republican Adam Kinzinger endorses Biden for president,The Guardian,https://www.theguardian.com/us-news/article/2024/jun/26/adam-kinzinger-biden-endorsement
Democrats in disarray as Trump immunity ruling raises stakes,The Guardian,https://www.theguardian.com/us-news/article/2024/jul/06/democrats-disarray-trump-immunity-ruling-stakes
House Democrat pledges amendment to reverse Trump immunity ruling,The Guardian,https://www.theguardian.com/us-news/article/2024/jul/02/joe-morelle-constitution-amendment-trump-immunity
Trump immunity case: read supreme court’s decision in full,The Guardian,https://www.theguardian.com/us-news/article/2024/jul/01/supreme-court-trump-immunity-decision
"Donald Trump’s would-be assassin was a ‘monster’, Melania Trump says",The Guardian,https://www.theguardian.com/us-news/article/2024/jul/14/melania-trump-statement-donald-trump-rally-shooting
Donald Trump rally shooting: world leaders condemn political violence,The Guardian,https://www.theguardian.com/us-news/article/2024/jul/14/donald-trump-rally-shooting-world-leaders-condemn-political-violence
Trump to keep schedule for Republican convention after rally shooting,The Guardian,https://www.theguardian.com/us-news/article/2024/jul/14/trump-rally-shooting-republican-convention
Did Donald Trump just win the election? | Arwa Mahdawi,The Guardian,https://www.theguardian.com/commentisfree/article/2024/jul/15/did-donald-trump-just-win-the-election
