Title,Source,URL
Ukraine war briefing: ‘Russia does not control Kursk border’,The Guardian,https://www.theguardian.com/world/article/2024/aug/07/ukraine-war-briefing-russia-does-not-control-kursk-border
Ukraine ambushes Russian convoy in Kursk as Kremlin declares emergency,The Guardian,https://www.theguardian.com/world/article/2024/aug/09/ukraine-ambushes-russian-convoy-in-kursk-as-kremlin-declares-federal-emergency
Ukraine war briefing: White House queries objectives of Kursk incursion,The Guardian,https://www.theguardian.com/world/article/2024/aug/08/ukraine-war-briefing-why-kursk-white-house-asks-as-putin-fumes-at-provocation
Ukraine war briefing: Main fire at Russia-controlled nuclear plant in Ukraine extinguished,The Guardian,https://www.theguardian.com/world/article/2024/aug/12/ukraine-war-briefing-main-fire-at-russia-controlled-nuclear-plant-in-ukraine-extinguished
"Russia-Ukraine war: Ukraine controls 74 settlements in Kursk region, says Zelenskiy – as it happened",The Guardian,https://www.theguardian.com/world/live/2024/aug/13/russia-ukraine-war-kursk-incursion-volodymyr-zelenskiy-vladimir-putin-latest-news-updates
"Ukraine war briefing: Cause of fire unclear at Russia-controlled nuclear plant in Ukraine, watchdog says",The Guardian,https://www.theguardian.com/world/article/2024/aug/13/ukraine-war-briefing-cause-of-fire-unclear-at-russia-controlled-nuclear-plant-in-ukraine-watchdog-says
Russia-Ukraine war: key bridges destroyed in Kursk as Ukraine ‘leaves trail of destruction’ – as it happened,The Guardian,https://www.theguardian.com/world/live/2024/aug/17/russia-ukraine-war-live-kursk-bridge-incursion-latest-news
Russia-Ukraine war live: Ukraine repels missile attack on Kyiv and targets another Kursk bridge – as it happened,The Guardian,https://www.theguardian.com/world/live/2024/aug/18/russia-ukraine-war-live-ukraine-missile-attack-kyiv-kursk
Russia-Ukraine war: Zelenskiy says Ukraine ‘achieving our goals’ in Kursk as third bridge is hit – as it happened,The Guardian,https://www.theguardian.com/world/live/2024/aug/19/russia-ukraine-war-live-latest-updates-volodymyr-zelenskiy-vladimir-putin-kursk-incursion
Ukraine war briefing: Biden and Zelenskiy talk as Ukraine prepares to mark independence day,The Guardian,https://www.theguardian.com/world/article/2024/aug/24/ukraine-war-briefing-biden-and-zelenskiy-talk-as-ukraine-prepares-to-mark-independence-day
"Russia-Ukraine war: Putin regime ‘threatening world with nuclear catastrophe,’ says Ukraine – as it happened",The Guardian,https://www.theguardian.com/world/live/2024/aug/29/russia-ukraine-war-live-belgorod-eu-ministers-kuleba
Ukraine war briefing: Zelenskiy says F16s shooting down Russian missiles ,The Guardian,https://www.theguardian.com/world/article/2024/aug/28/ukraine-war-briefing-zelenskiy-says-f16s-shooting-down-russian-missiles
Ukraine war briefing: Russia says it will change nuclear doctrine due to western ‘escalation’ in Ukraine,The Guardian,https://www.theguardian.com/world/article/2024/sep/02/ukraine-war-briefing-russia-says-it-will-change-nuclear-doctrine-due-to-western-escalation-in-ukraine
Ukraine military faces questions as country mourns Poltava dead,The Guardian,https://www.theguardian.com/world/article/2024/sep/06/drones-russia-poltava-airstrikes
Ukraine war briefing: Putin and Mongolia flout ICC arrest warrant,The Guardian,https://www.theguardian.com/world/article/2024/sep/03/ukraine-war-briefing-putin-and-mongolia-flout-icc-arrest-warrant
First Thing: Putin warns Nato over Ukraine missiles,The Guardian,https://www.theguardian.com/us-news/2024/sep/13/first-thing-putin-warns-lifting-ukraine-missile-restrictions-put-nato-at-war-with-russia
‘Ukraine must defend itself’: Washington leaders dismiss Putin’s war talk,The Guardian,https://www.theguardian.com/world/2024/sep/13/ukraine-must-defend-itself-washington-leaders-dismiss-putins-war-talk
"Moscow importing western aircraft tyres despite ban, says Ukraine agency",The Guardian,https://www.theguardian.com/business/2024/sep/12/moscow-importing-western-aircraft-tyres-despite-ban-says-ukraine-agency
Russia-Ukraine war: Zelenskyy says Ukraine ‘victory plan’ depends on decisions by allies this year – as it happened,The Guardian,https://www.theguardian.com/world/live/2024/sep/20/russia-ukraine-war-live-italy-calls-for-fair-peace-and-says-defence-of-ukraine-must-not-lead-to-world-war
Now is the time to negotiate with Putin about Ukraine | Letters,The Guardian,https://www.theguardian.com/world/2024/sep/20/now-is-the-time-to-negotiate-with-putin-about-ukraine
Hundreds released in Russia-Ukraine prisoner swap deal – as it happened,The Guardian,https://www.theguardian.com/world/live/2024/sep/14/russia-ukraine-war-live-nato-putin-zelenskiy
"Ukraine war briefing: Trump to meet Zelenskyy, and refuses to say if Ukraine should cede territory to Russia",The Guardian,https://www.theguardian.com/world/2024/sep/27/ukraine-war-briefing-trump-to-meet-zelenskyy-and-refuses-to-say-if-ukraine-should-cede-territory-to-russia
Keir Starmer lambasts Russia over Ukraine at UN security council,The Guardian,https://www.theguardian.com/world/2024/sep/25/keir-starmer-lambasts-russia-over-ukraine-at-un-security-council
Ukraine war briefing: Zelenskyy to present ‘victory plan’ during US visit ,The Guardian,https://www.theguardian.com/world/2024/sep/22/ukraine-war-briefing-zelenskyy-to-present-victory-plan-during-us-visit
America needs to start getting Israel and Ukraine to negotiate | Christopher S Chivvis,The Guardian,https://www.theguardian.com/commentisfree/2024/oct/02/biden-israel-ukraine-deescalation
"Ukraine war briefing: Fight hard through autumn, Zelenskyy urges forces",The Guardian,https://www.theguardian.com/world/2024/oct/01/ukraine-war-briefing-fight-hard-through-autumn-zelenskyy-urges-forces
Ukraine says its forces have withdrawn from defensive bastion of Vuhledar,The Guardian,https://www.theguardian.com/world/2024/oct/02/ukraine-forces-withdrawn-vuhledar-donetsk
Ukraine war briefing: Zelenskyy says Ukraine needs to achieve faster results on the battlefield,The Guardian,https://www.theguardian.com/world/2024/oct/09/ukraine-war-briefing-zelenskyy-says-ukraine-needs-to-achieve-faster-results-on-the-battlefield
Ukraine war briefing: Hypersonic missile targets major Ukrainian airbase,The Guardian,https://www.theguardian.com/world/2024/oct/08/ukraine-war-briefing-hypersonic-missile-strikes-at-major-ukrainian-airbase
"North Koreans deployed alongside Russian troops in Ukraine, sources say",The Guardian,https://www.theguardian.com/world/2024/oct/10/north-korea-engineers-deployed-russia-ukraine
Ukraine war briefing: Authorities order evacuation of previously liberated Kupiansk,The Guardian,https://www.theguardian.com/world/2024/oct/16/ukraine-war-briefing-authorities-order-evacuation-of-previously-liberated-kupiansk
Six Russian soldiers granted French temporary entry permits after fleeing Ukraine,The Guardian,https://www.theguardian.com/world/2024/oct/16/six-russian-soldiers-granted-visas-to-france-after-fleeing-war-in-ukraine
Ukraine war briefing: Australia to send 49 Abrams tanks to Kyiv,The Guardian,https://www.theguardian.com/world/2024/oct/17/ukraine-war-briefing-australia-to-send-49-abrams-tanks-to-kyiv
Ukraine war briefing: G7 defence ministers pledge ‘unwavering support’ for Ukraine,The Guardian,https://www.theguardian.com/world/2024/oct/20/ukraine-war-briefing-g7-defence-ministers-pledge-unwavering-support-for-ukraine
Russian ambassador accuses UK of waging proxy war in Ukraine,The Guardian,https://www.theguardian.com/world/2024/oct/20/russian-ambassador-accuses-uk-waging-proxy-war-ukraine
Ukraine war briefing: Power cuts in Kharkiv after Russian strikes,The Guardian,https://www.theguardian.com/world/2024/oct/21/ukraine-war-briefing-power-cuts-in-kharkiv-after-russian-strikes
"Ukraine war briefing: Russian attacks kill nine civilians across Ukraine, officials say",The Guardian,https://www.theguardian.com/world/2024/oct/27/ukraine-war-briefing-russian-attacks-kill-nine-civilians-across-ukraine-officials-say
Ukraine war briefing: Bomb shatters historic landmark in Kharkiv,The Guardian,https://www.theguardian.com/world/2024/oct/29/ukraine-war-briefing-bomb-derzhprom-historic-landmark-kharkiv
"Ukraine war briefing: Kyiv announces draft of 160,000 more troops",The Guardian,https://www.theguardian.com/world/2024/oct/30/ukraine-war-briefing-kyiv-announces-draft-of-160000-more-troops
Friday briefing: How will Trump handle the Ukraine war?,The Guardian,https://www.theguardian.com/world/2024/nov/08/friday-briefing-how-will-trump-handle-the-ukraine-war
"Inexperienced, poorly trained and underfed: the North Korean troops heading to Ukraine",The Guardian,https://www.theguardian.com/world/2024/nov/05/north-korea-troops-russia-ukraine-war-kim-jong-un-putin
"Relations between Ukraine and UK are worse under Labour, say Kyiv officials",The Guardian,https://www.theguardian.com/world/2024/nov/08/relationship-between-uk-and-ukraine-has-worsened-since-labour-won-election
"Ukraine war briefing: Don’t walk away from Ukraine, Biden expected to tell Trump ",The Guardian,https://www.theguardian.com/world/2024/nov/11/ukraine-war-briefing-dont-walk-away-from-ukraine-biden-expected-to-tell-trump
"Ukraine war briefing: Russia readying push on southern front including Zaporizhzhia, Ukraine says",The Guardian,https://www.theguardian.com/world/2024/nov/13/ukraine-war-briefing-russia-readying-push-on-southern-front-including-zaporizhzhia-ukraine-says
Ukraine war briefing: EU cements first ever joint arms purchases in boost for Ukraine,The Guardian,https://www.theguardian.com/world/2024/nov/15/ukraine-war-briefing-eu-cements-first-ever-joint-arms-purchases-in-boost-for-ukraine
"Ukraine war briefing: Ukraine marks 1,000 days since full-scale Russian invasion",The Guardian,https://www.theguardian.com/world/2024/nov/19/ukraine-war-briefing-ukraine-marks-1000-days-since-full-scale-russian-invasion
Ukraine war briefing: Ukraine parliament reportedly postpones sitting after Russian ballistic missile strike,The Guardian,https://www.theguardian.com/world/2024/nov/22/ukraine-war-briefing-ukraine-parliament-reportedly-postpones-sitting-after-russian-ballistic-missile-strike
Russia-Ukraine war: Russia vows ‘palpable response’ if Ukraine uses long-range missiles on its territory – as it happened,The Guardian,https://www.theguardian.com/world/live/2024/nov/18/ukraine-war-us-missile-atacms-joe-biden-volodymyr-zelenskyy-vladimir-putin-latest-news
Ukraine war briefing: US expects thousands of North Korean troops to enter Ukraine combat ‘soon’,The Guardian,https://www.theguardian.com/world/2024/nov/23/ukraine-war-briefing-us-expects-thousands-of-north-korean-troops-to-enter-ukraine-combat-soon
"Ukraine war briefing: Ukraine targeted by nearly 500 Iran-designed drones in a week, Zelenskyy says",The Guardian,https://www.theguardian.com/world/2024/nov/25/ukraine-war-briefing-ukraine-targeted-by-nearly-500-iran-designed-drones-in-a-week-zelenskyy-says
"Ukraine war briefing: No ‘red lines’ when it comes to support for Ukraine, says French foreign minister",The Guardian,https://www.theguardian.com/world/2024/nov/24/ukraine-war-briefing-no-red-lines-when-it-comes-to-support-for-ukraine-says-french-foreign-minister
Ukraine war briefing: Nato lauds Blinken on final Brussels turn,The Guardian,https://www.theguardian.com/world/2024/dec/04/ukraine-war-briefing-nato-lauds-blinken-on-final-brussels-turn
Biden administration announces additional $725m in military assistance to Ukraine,The Guardian,https://www.theguardian.com/world/2024/dec/03/biden-ukraine-russia-trump-military-assistance
Ukraine war briefing: Zelenskyy delegation meets with Trump team – report ,The Guardian,https://www.theguardian.com/world/2024/dec/05/ukraine-war-briefing-zelenskyy-delegation-meets-with-trump-team-report
Ukraine war briefing: Trump urges China to help end Ukraine war,The Guardian,https://www.theguardian.com/world/2024/dec/09/ukraine-war-briefing-trump-urges-china-to-help-end-ukraine-war
Ukraine war briefing: Scholz confident of developing ‘joint strategy’ on Ukraine with Trump,The Guardian,https://www.theguardian.com/world/2024/dec/07/ukraine-war-briefing-scholz-confident-of-developing-joint-strategy-on-ukraine-with-trump
Ukraine war briefing: Nato warns that Putin wants to ‘wipe Ukraine off the map’,The Guardian,https://www.theguardian.com/world/2024/dec/13/ukraine-war-briefing-nato-warns-that-putin-wants-to-wipe-ukraine-off-the-map
"Russia-Ukraine war: Russia suffers worst daily losses since the start of the invasion, claims Ukraine – as it happened",The Guardian,https://www.theguardian.com/world/live/2024/dec/20/russia-ukraine-war-live-kyiv-airstrike-ballistic-missile-vladimir-putin
Putin claims Ukraine war has made Russia ‘much stronger’,The Guardian,https://www.theguardian.com/world/2024/dec/19/putin-claims-ukraine-war-has-made-russia-much-stronger-phone-in
